-321487.8045059185,4458298.339010008,23598
-325984.4067035511,4462795.017030024,81248
-316991.202308286,4467291.69505004,16608
-330481.0089011837,4462795.017030024,71173
-325984.4067035511,4458298.339010008,39729
-321487.8045059185,4467291.69505004,46901
-316991.202308286,4462795.017030024,18594
-321487.8045059185,4462795.017030024,75563
-325984.4067035511,4467291.69505004,160242
-330481.0089011837,4458298.339010008,51278
-330481.0089011837,4467291.69505004,95218
-316991.202308286,4458298.339010008,16382
