-321453.72092821344,4458298.301098816,23590
-325963.95655692805,4462794.903296449,81526
-316943.48529949883,4467291.505494081,16510
-330474.19218564266,4462794.903296449,71256
-325963.95655692805,4458298.301098816,39802
-321453.72092821344,4467291.505494081,46919
-316943.48529949883,4462794.903296449,18505
-321453.72092821344,4462794.903296449,75288
-325963.95655692805,4467291.505494081,160132
-330474.19218564266,4458298.301098816,51377
-330474.19218564266,4467291.505494081,95414
-316943.48529949883,4458298.301098816,16215
